 n    Epsilon_{11}      Sigma_{11}    Epsilon_{22}      Sigma_{22}    Epsilon_{33}      Sigma_{33}
                         
0.0         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
0.1         0.00200 134088217.45284         0.00200  36497299.17098         0.00200  36497299.17098
0.2         0.00400 268176434.90569         0.00400  72994598.34195         0.00400  72994598.34195
0.3         0.00600 402264652.35853         0.00600 109491897.51293         0.00600 109491897.51293
0.4         0.00800 536352869.81138         0.00800 145989196.68390         0.00800 145989196.68390
0.5         0.01000 670441087.26422         0.01000 182486495.85488         0.01000 182486495.85488
0.6         0.01200 804529304.71706         0.01200 218983795.02585         0.01200 218983795.02585
0.7         0.01400 938617522.16991         0.01400 255481094.19683         0.01400 255481094.19683
0.8         0.01600 1072705739.62275         0.01600 291978393.36780         0.01600 291978393.36780
0.9         0.01800 1197156447.30432         0.01800 269738513.45433         0.01800 321834296.22038
1.0         0.02000 1316921188.89016         0.02000 227148898.03259         0.02000 348461008.26382
1.1         0.02200 1437072066.11420         0.02200 193758303.63482         0.02200 375353813.92136
1.2         0.02400 1554505179.57215         0.02400 165953356.06251         0.02400 384104903.02531
1.3         0.02600 1660752884.38299         0.02600 139899366.33824         0.02600 330190626.77269
1.4         0.02800 1767598216.21950         0.02800 118968245.44063         0.02800 286112789.09177
1.5         0.03000 1875003425.96111         0.03000 101960063.70674         0.03000 249686786.46418
1.6         0.03200 1982933213.90685         0.03200  87998260.55186         0.03200 219297094.60273
1.7         0.03400 2091354566.88532         0.03400  76431378.23719         0.03400 193727474.29092
1.8         0.03600 2200236606.43131         0.03600  66767976.10798         0.03600 172048028.91539
1.9         0.03800 2309550447.26377         0.03800  58632443.98808         0.03800 153538141.77902
2.0         0.04000 2419269065.35338         0.04000  51734353.54164         0.04000 137632712.83237
2.1         0.04200 2529367174.91788         0.04200  45846796.89992         0.04200 123883909.33854
2.2         0.04400 2442511580.01042         0.04400  39755844.26363         0.04400 109545987.02873
2.3         0.04600 2142120095.88364         0.04600  33470512.58515         0.04600  94525673.70656
2.4         0.04800 1882255739.24860         0.04800  28237097.70836         0.04800  81724715.44904
2.5         0.05000 1656814187.50191         0.05000  23867435.85771         0.05000  70784777.84307
2.6         0.05200 1460730084.54715         0.05200  20209663.70916         0.05200  61411477.97057
2.7         0.05400 1289776567.18376         0.05400  17140612.27005         0.05400  53361687.82978
2.8         0.05600 1140408406.71390         0.05600  14559938.24419         0.05600  46433641.85358
2.9         0.05800 1009638184.16697         0.05800  12385560.22260         0.05800  40459163.44199
3.0         0.06000 894937743.74648         0.06000  10550084.07218         0.06000  35297508.93639
3.1         0.06200 794159174.42686         0.06200   8997984.74002         0.06200  30830457.61282
3.2         0.06400 705471010.62490         0.06400   7683371.06086         0.06400  26958369.74519
3.3         0.06600 627306390.57849         0.06600   6568203.18473         0.06600  23597002.70798
3.4         0.06800 558320681.18096         0.06800   5620863.75625         0.06800  20674924.97339
3.5         0.07000 497356649.87703         0.07000   4815007.28298         0.07000  18131404.86934
3.6         0.07200 443415692.91737         0.07200   4128629.51971         0.07200  15914678.68183
3.7         0.07400 395633953.50260         0.07400   3543311.78100         0.07400  13980523.62468
3.8         0.07600 353262410.62989         0.07600   3043605.01574         0.07600  12291077.14899
3.9         0.07800 315650209.52954         0.07800   2616526.05638         0.07800  10813856.30587
4.0         0.08000 282230651.75901         0.08000   2251144.28252         0.08000   9520940.33945
4.1         0.08200 252509377.78208         0.08200   1938241.44815         0.08200   8388287.05248
4.2         0.08400 226054364.92719         0.08400   1670030.93207         0.08400   7395159.25584
4.3         0.08600 202487434.74529         0.08600   1439925.41796         0.08600   6523642.15880
4.4         0.08800 181477020.28428         0.08800   1242344.17275         0.08800   5758236.15895
4.5         0.09000 162731988.92217         0.09000   1072552.80017         0.09000   5085512.36000
4.6         0.09200 145996352.63413         0.09200    926529.70430         0.09200   4493820.44300
4.7         0.09400 131044726.80436         0.09400    800854.57995         0.09400   3973040.36465
4.8         0.09600 117678422.39760         0.09600    692615.11417         0.09600   3514370.84949
4.9         0.09800 105722075.60804         0.09800    599328.77992         0.09800   3110148.85480
5.0         0.10000  95020734.89097         0.10000    518877.16542         0.10000   2753695.17420
5.1         0.10200  85437338.24688         0.10200    449450.73808         0.10200   2439182.15343
5.2         0.10400  76850524.31472         0.10400    389502.31138         0.10400   2161520.15485
5.3         0.10600  69152729.67385         0.10600    337707.78466         0.10600   1916259.95277
5.4         0.10800  62248532.09582         0.10800    292932.97160         0.10800   1699508.69334
5.5         0.11000  56053205.60405         0.11000    254205.53491         0.11000   1507857.42626
5.6         0.11200  50491458.31092         0.11200    220691.21040         0.11200   1338318.52664
5.7         0.11400  45496328.28724         0.11400    191673.63965         0.11400   1188271.58480
5.8         0.11600  41008216.32194         0.11600    166537.24350         0.11600   1055416.55790
5.9         0.11800  36974037.46703         0.11800    144752.66119         0.11800    937733.15955
6.0         0.12000  33346475.83109         0.12000    125864.35742         0.12000    833445.61549
6.1         0.12200  30083329.26015         0.12200    109480.06345         0.12200    740992.04237
6.2         0.12400  27146932.39388         0.12400     95261.77202         0.12400    658997.81482
6.3         0.12600  24503648.15944         0.12600     82918.04987         0.12600    586252.37771
6.4         0.12800  22123419.10853         0.12800     72197.46911         0.12800    521689.03824
6.5         0.13000  19979371.15286         0.13000     62882.98966         0.13000    464367.33850
6.6         0.13200  18047463.23772         0.13200     54787.15089         0.13200    413457.66511
6.7         0.13400  16306177.33954         0.13400     47747.95255         0.13400    368227.80053
6.8         0.13600  14736243.90050         0.13600     41625.32339         0.13600    328031.16135
6.9         0.13800  13320398.44100         0.13800     36298.09132         0.13800    292296.50379
7.0         0.14000  12043165.63189         0.14000     31661.38194         0.14000    260518.90640
7.1         0.14200  10890667.57704         0.14200     27624.38335         0.14200    232251.86591
7.2         0.14400   9850453.46234         0.14400     24108.42430         0.14400    207100.36362
7.3         0.14600   8911348.07951         0.14600     21045.32063         0.14600    184714.77936
7.4         0.14800   8063317.03865         0.14800     18375.95177         0.14800    164785.54554
7.5         0.15000   7297346.74988         0.15000     16049.03441         0.15000    147038.44861
7.6         0.15200   6605337.48621         0.15200     14020.06539         0.15200    131230.49684
7.7         0.15400   5980008.04205         0.15400     12250.41008         0.15400    117146.28408
7.8         0.15600   5414810.67872         0.15600     10706.51560         0.15600    104594.78807
7.9         0.15800   4903855.20279         0.15800      9359.23152         0.15800     93406.54994
8.0         0.16000   4441841.15841         0.16000      8183.22307         0.16000     83431.18807
8.1         0.16200   4023997.23375         0.16200      7156.46391         0.16200     74535.20557
8.2         0.16400   3646027.08551         0.16400      6259.79753         0.16400     66600.05583
8.3         0.16600   3304060.87732         0.16600      5476.55779         0.16600     59520.43480
8.4         0.16800   2994611.90804         0.16800      4792.24047         0.16800     53202.77280
8.5         0.17000   2714537.77717         0.17000      4194.21886         0.17000     47563.90192
8.6         0.17200   2461005.59666         0.17200      3671.49732         0.17200     42529.87808
8.7         0.17400   2231460.81388         0.17400      3214.49775         0.17400     38034.93932
8.8         0.17600   2023599.25876         0.17600      2814.87443         0.17600     34020.58416
8.9         0.17800   1835342.07143         0.17800      2465.35335         0.17800     30434.75591
9.0         0.18000   1664813.20438         0.18000      2159.59285         0.18000     27231.12051
9.1         0.18200   1510319.22692         0.18200      1892.06267         0.18200     24368.42675
9.2         0.18400   1370331.18955         0.18400      1657.93880         0.18400     21809.93953
9.3         0.18600   1243468.33218         0.18600      1453.01227         0.18600     19522.93739
9.4         0.18800   1128483.44334         0.18800      1273.60978         0.18800     17478.26699
9.5         0.19000   1024249.69889         0.19000      1116.52477         0.19000     15649.94800
9.6         0.19200    929748.82636         0.19200       978.95744         0.19200     14014.82247
9.7         0.19400    844060.45826         0.19400       858.46258         0.19400     12552.24357
9.8         0.19600    766352.55173         0.19600       752.90420         0.19600     11243.79932
9.9         0.19800    695872.76510         0.19800       660.41598         0.19800     10073.06720
10.0         0.20000    631940.69354         0.20000       579.36691         0.20000      9025.39610
